1,5,3/7/2022,54
2,1,8/24/2022,19
3,8,6/15/2021,71
4,2,5/20/2021,17
5,3,7/2/2022,13
6,8,1/2/2020,45
7,7,5/18/2021,13
8,2,10/17/2022,11
9,6,8/25/2021,85
10,3,2/23/2021,46
11,3,6/2/2020,68
12,8,5/27/2021,61
13,9,4/29/2022,42
14,3,4/11/2021,17
15,6,2/20/2021,30
16,3,5/21/2020,16
17,10,5/2/2022,76
18,4,1/18/2022,56
19,3,4/17/2020,20
20,3,12/2/2021,12
21,10,12/18/2021,33
22,9,5/18/2020,93
23,5,6/19/2021,28
24,10,9/3/2021,51
25,2,2/13/2020,56
26,2,9/16/2020,24
27,1,6/16/2022,9
28,10,6/20/2021,6
29,3,12/1/2021,41
30,7,5/7/2021,52
31,3,4/13/2022,33
32,6,5/11/2022,55
33,4,8/11/2020,17
34,9,7/12/2020,54
35,4,12/6/2021,41
36,1,2/5/2022,87
37,2,12/29/2021,11
38,8,9/4/2022,3
39,5,3/13/2022,44
40,5,10/5/2022,4
41,8,6/22/2022,49
42,4,11/17/2020,31
43,3,7/20/2020,30
44,4,4/12/2021,2
45,4,10/22/2020,98
46,6,12/6/2021,39
47,1,4/21/2020,76
48,10,3/25/2020,14
49,8,5/1/2021,59
50,6,11/28/2020,61
51,5,5/16/2021,94
52,2,7/30/2022,14
53,8,5/27/2022,41
54,6,3/15/2020,81
55,6,7/15/2021,99
56,8,9/17/2021,78
57,7,6/7/2022,48
58,7,6/28/2020,37
59,6,7/14/2021,23
60,1,8/20/2021,2
61,6,5/13/2021,88
62,2,2/2/2022,4
63,6,11/1/2021,27
64,7,11/23/2021,56
65,10,1/14/2020,52
66,2,4/30/2020,1
67,6,9/27/2021,31
68,6,1/7/2020,61
69,3,7/16/2022,93
70,2,5/6/2020,27
71,6,7/29/2022,62
72,6,3/10/2022,78
73,7,3/21/2020,39
74,10,4/30/2022,51
75,6,9/30/2020,89
76,10,12/22/2020,66
77,8,5/9/2022,14
78,2,12/21/2022,17
79,9,12/17/2021,39
80,7,3/16/2022,22
81,8,3/26/2020,54
82,6,2/2/2020,68
83,4,2/12/2022,41
84,1,2/18/2020,29
85,4,12/12/2021,69
86,6,1/4/2021,21
87,2,2/2/2022,34
88,7,5/7/2020,57
89,2,11/29/2022,40
90,9,12/1/2022,68
91,2,3/13/2022,27
92,10,4/8/2020,41
93,7,12/3/2021,28
94,5,4/2/2021,12
95,9,5/29/2021,29
96,6,12/29/2021,12
97,2,2/23/2021,6
98,4,3/15/2020,30
99,3,2/26/2022,48
100,2,2/10/2020,65
