1,7,10/4/2020,55,2
2,4,8/3/2021,94,10
3,4,7/3/2020,35,1
4,8,4/20/2020,69,1
5,8,1/31/2020,50,6
6,6,8/4/2021,90,8
7,10,5/9/2020,42,9
8,8,3/31/2020,35,1
9,6,5/20/2020,18,2
10,4,11/14/2021,95,8
11,10,11/12/2020,34,10
12,2,3/3/2021,10,6
13,2,1/24/2021,77,9
14,3,12/5/2020,48,6
15,5,8/11/2021,34,6
16,3,4/27/2021,49,9
17,2,5/2/2020,22,4
18,8,7/17/2020,37,5
19,4,10/24/2020,60,10
20,2,8/10/2021,87,5
21,10,12/29/2021,40,3
22,2,6/24/2020,98,9
23,2,3/22/2020,79,5
24,3,1/11/2021,40,10
25,2,5/16/2020,15,8
26,5,5/31/2021,69,9
27,1,10/20/2021,13,7
28,5,5/24/2021,24,9
29,7,8/15/2020,36,6
30,3,10/13/2021,10,7
31,5,7/31/2020,41,5
32,3,7/16/2021,76,3
33,8,10/12/2020,55,4
34,4,11/23/2021,24,6
35,2,6/2/2020,72,9
36,7,4/18/2021,30,5
37,5,2/22/2020,50,2
38,7,7/26/2021,83,1
39,6,2/24/2021,15,1
40,3,11/19/2021,43,7
41,5,12/20/2021,57,9
42,4,9/19/2020,70,2
43,3,8/12/2021,74,5
44,10,11/25/2021,12,4
45,3,4/21/2020,92,2
46,8,3/15/2020,84,4
47,3,5/30/2020,99,5
48,1,3/27/2021,2,1
49,1,8/30/2020,68,10
50,10,3/23/2021,90,6
51,10,3/30/2020,3,10
52,2,8/1/2021,15,1
53,7,1/19/2020,87,6
54,7,1/13/2021,55,1
55,8,2/22/2021,70,4
56,3,7/22/2021,9,6
57,9,4/2/2021,22,7
58,2,11/28/2021,35,1
59,8,7/15/2020,86,4
60,9,11/23/2020,77,9
61,9,5/9/2020,67,4
62,10,9/6/2020,33,5
63,6,3/9/2020,74,10
64,3,9/7/2021,73,6
65,4,3/31/2020,72,8
66,1,12/6/2021,8,10
67,7,6/6/2020,55,1
68,7,2/17/2021,64,4
69,6,10/8/2020,15,3
70,3,3/8/2021,68,2
71,3,5/14/2021,79,3
72,9,5/11/2021,64,6
73,7,10/26/2021,2,8
74,1,3/14/2021,46,7
75,9,9/27/2021,4,8
76,5,5/2/2020,39,1
77,10,3/10/2020,72,2
78,8,4/25/2020,77,6
79,2,7/30/2020,68,2
80,2,10/28/2020,92,10
81,2,12/7/2021,46,1
82,2,4/30/2020,81,7
83,8,7/21/2021,29,10
84,1,8/27/2021,54,8
85,5,8/2/2020,66,2
86,3,11/20/2020,13,10
87,8,5/7/2021,51,5
88,2,7/8/2021,82,2
89,3,2/28/2020,6,2
90,9,6/4/2020,3,2
91,8,3/12/2021,16,4
92,2,7/22/2020,92,9
93,6,3/6/2021,60,5
94,1,10/23/2020,1,2
95,7,7/26/2020,51,5
96,6,4/24/2020,96,2
97,7,7/17/2020,48,9
